"set","n","result","instance","D","runtime"
"GBRL",100,75,"100_ep0.125_0_gilbert_8.in",6,90.7295
"GBRL",100,68,"100_ep0.125_0_gilbert_8.in",7,63.0254
"GBRL",100,62,"100_ep0.125_0_gilbert_8.in",8,573.6072
"GBRL",100,46,"100_ep0.125_0_gilbert_8.in",9,386.838
"GBRL",100,2,"100_ep0.125_0_gilbert_8.in",10,0.693
"GBRL",100,97,"100_ep0.125_0_gilbert_10.in",1,101.4609
"GBRL",100,93,"100_ep0.125_0_gilbert_10.in",2,126.8446
"GBRL",100,90,"100_ep0.125_0_gilbert_10.in",3,576.148
"GBRL",100,85,"100_ep0.125_0_gilbert_10.in",4,346.6188
"GBRL",100,80,"100_ep0.125_0_gilbert_10.in",5,302.9504
"GBRL",100,74,"100_ep0.125_0_gilbert_10.in",6,88.684
"GBRL",100,69,"100_ep0.125_0_gilbert_10.in",7,1559.3967
"GBRL",100,46,"100_ep0.125_0_gilbert_10.in",8,477.1709
"GBRL",100,1,"100_ep0.125_0_gilbert_10.in",9,0.111
"GBRL",100,1,"100_ep0.125_0_gilbert_10.in",10,0.0804
"GBRL",100,96,"100_ep0.125_0_gilbert_1.in",1,143.2812
"GBRL",100,93,"100_ep0.125_0_gilbert_1.in",2,139.8638
"GBRL",100,89,"100_ep0.125_0_gilbert_1.in",3,210.4803
"GBRL",100,85,"100_ep0.125_0_gilbert_1.in",4,196.1079
"GBRL",100,81,"100_ep0.125_0_gilbert_1.in",5,108.1532
"GBRL",100,76,"100_ep0.125_0_gilbert_1.in",6,101.0666
"GBRL",100,70,"100_ep0.125_0_gilbert_1.in",7,67.9063
"GBRL",100,64,"100_ep0.125_0_gilbert_1.in",8,69.5471
"GBRL",100,58,"100_ep0.125_0_gilbert_1.in",9,1204.3202
"GBRL",100,40,"100_ep0.125_0_gilbert_1.in",10,369.9145
"GBRL",100,95,"100_ep0.075_0_gilbert_6.in",1,225.1449
"GBRL",100,89,"100_ep0.075_0_gilbert_6.in",2,279.137
