"set","n","result","instance","D","runtime"
"BBGRL",100,63,"100_ep0.05_0_gilbert_5.in",4,169.1416
"BBGRL",100,12,"100_ep0.05_0_gilbert_5.in",5,2.6698
"BBGRL",100,4,"100_ep0.05_0_gilbert_5.in",6,0.5918
"BBGRL",100,3,"100_ep0.05_0_gilbert_5.in",7,0.1726
"BBGRL",100,2,"100_ep0.05_0_gilbert_5.in",8,0.1446
"BBGRL",100,1,"100_ep0.05_0_gilbert_5.in",9,0.0542
"BBGRL",100,1,"100_ep0.05_0_gilbert_5.in",10,0.0396
"BBGRL",100,91,"100_ep0.05_0_gilbert_2.in",1,523.3814
"BBGRL",100,80,"100_ep0.05_0_gilbert_2.in",2,523.5395
"BBGRL",100,2,"100_ep0.05_0_gilbert_2.in",3,0.421
"BBGRL",100,1,"100_ep0.05_0_gilbert_2.in",4,0.0972
"BBGRL",100,1,"100_ep0.05_0_gilbert_2.in",5,0.0769
"BBGRL",100,1,"100_ep0.05_0_gilbert_2.in",6,0.0648
"BBGRL",100,1,"100_ep0.05_0_gilbert_2.in",7,0.1078
"BBGRL",100,1,"100_ep0.05_0_gilbert_2.in",8,0.0925
"BBGRL",100,1,"100_ep0.05_0_gilbert_2.in",9,0.094
"BBGRL",100,1,"100_ep0.05_0_gilbert_2.in",10,0.0694
"BBGRL",100,95,"100_ep0.075_0_gilbert_6.in",1,225.83
"BBGRL",100,89,"100_ep0.075_0_gilbert_6.in",2,279.9792
"BBGRL",100,83,"100_ep0.075_0_gilbert_6.in",3,318.7639
"BBGRL",100,75,"100_ep0.075_0_gilbert_6.in",4,185.5042
"BBGRL",100,61,"100_ep0.075_0_gilbert_6.in",5,667.7458
"BBGRL",100,2,"100_ep0.075_0_gilbert_6.in",6,0.3625
"BBGRL",100,1,"100_ep0.075_0_gilbert_6.in",7,0.0719
"BBGRL",100,1,"100_ep0.075_0_gilbert_6.in",8,0.0607
"BBGRL",100,1,"100_ep0.075_0_gilbert_6.in",9,0.0711
"BBGRL",100,1,"100_ep0.075_0_gilbert_6.in",10,0.0517
"BBGRL",100,96,"100_ep0.1_0_gilbert_4.in",1,127.6065
"BBGRL",100,91,"100_ep0.1_0_gilbert_4.in",2,87.635
"BBGRL",100,87,"100_ep0.1_0_gilbert_4.in",3,117.4831
