"set","n","result","instance","D","runtime","seed"
"GBRL",1000,7,"1000_r0.065_0_geom_4.gin",3,69.7621,1504982280884598016
"GBRL",1000,5,"1000_r0.065_0_geom_4.gin",4,58.8797,1504982352450957312
"GBRL",1000,4,"1000_r0.065_0_geom_4.gin",5,35.1354,1504982413395146752
"GBRL",1000,3,"1000_r0.065_0_geom_4.gin",6,17.8297,1504982450361412352
"GBRL",1000,2,"1000_r0.065_0_geom_4.gin",7,8.4172,1504982469984966400
"GBRL",1000,1,"1000_r0.065_0_geom_4.gin",8,6.6213,1504982480192289536
"GBRL",1000,1,"1000_r0.065_0_geom_4.gin",9,6.5967,1504982488597131520
"GBRL",1000,1,"1000_r0.065_0_geom_4.gin",10,7.8687,1504982496978259968
"GBRL",1000,895,"1000_r0.065_0_geom_1.gin",1,359.1822,1504982507027799808
"GBRL",1000,708,"1000_r0.065_0_geom_1.gin",2,359.1984,1504982868004143104
"GBRL",1000,775,"1000_r0.065_0_geom_1.gin",3,359.2848,1504983229251889408
"GBRL",1000,863,"1000_r0.065_0_geom_1.gin",4,359.3988,1504983590373547264
"GBRL",1000,23,"1000_r0.065_0_geom_1.gin",5,360.1272,1504983951648885248
"GBRL",1000,11,"1000_r0.065_0_geom_1.gin",6,132.1832,1504984313981916160
"GBRL",1000,4,"1000_r0.065_0_geom_1.gin",7,72.0009,1504984447947969792
"GBRL",1000,3,"1000_r0.065_0_geom_1.gin",8,43.0893,1504984521987013632
"GBRL",1000,2,"1000_r0.065_0_geom_1.gin",9,9.4349,1504984567122960640
"GBRL",1000,1,"1000_r0.065_0_geom_1.gin",10,7.4259,1504984578359285504
"GBRL",1000,810,"1000_r0.05_0_geom_1.gin",1,359.3345,1504984587831061760
"GBRL",1000,7,"1000_r0.05_0_geom_1.gin",2,63.2415,1504984948951484160
"GBRL",1000,3,"1000_r0.05_0_geom_1.gin",3,28.1094,1504985014000105984
"GBRL",1000,2,"1000_r0.05_0_geom_1.gin",4,7.0055,1504985043896742912
"GBRL",1000,1,"1000_r0.05_0_geom_1.gin",5,5.6243,1504985052944107264
"GBRL",1000,1,"1000_r0.05_0_geom_1.gin",6,5.8467,1504985060399218944
"GBRL",1000,1,"1000_r0.05_0_geom_1.gin",7,6.1705,1504985068197497856
"GBRL",1000,1,"1000_r0.05_0_geom_1.gin",8,5.8544,1504985076543369472
"GBRL",1000,1,"1000_r0.05_0_geom_1.gin",9,6.4317,1504985084477696000
"GBRL",1000,1,"1000_r0.05_0_geom_1.gin",10,5.7659,1504985093056065024
"GBRL",1000,848,"1000_r0.065_0_geom_8.gin",1,338.1407,1504985100861622784
"GBRL",1000,736,"1000_r0.065_0_geom_8.gin",2,358.9957,1504985441053202432
"GBRL",1000,675,"1000_r0.065_0_geom_8.gin",3,359.2117,1504985801849421568
"GBRL",1000,206,"1000_r0.065_0_geom_8.gin",4,358.717,1504986162909251840
"GBRL",1000,809,"1000_r0.065_0_geom_8.gin",5,362.15,1504986523420765184
"GBRL",1000,20,"1000_r0.065_0_geom_8.gin",6,361.8882,1504986887365645056
"GBRL",1000,12,"1000_r0.065_0_geom_8.gin",7,83.6454,1504987251294355968
"GBRL",1000,7,"1000_r0.065_0_geom_8.gin",8,82.6778,1504987336972957952
"GBRL",1000,5,"1000_r0.065_0_geom_8.gin",9,73.6101,1504987421899579136
"GBRL",1000,4,"1000_r0.065_0_geom_8.gin",10,45.1273,1504987497344571904
"GBRL",1000,932,"1000_r0.058_0_geom_5.gin",1,363.755,1504987544504443136
"GBRL",1000,92,"1000_r0.058_0_geom_5.gin",2,360.1659,1504987910296856576
"GBRL",1000,16,"1000_r0.058_0_geom_5.gin",3,73.0636,1504988272317326080
"GBRL",1000,10,"1000_r0.058_0_geom_5.gin",4,75.842,1504988347401448192
"GBRL",1000,7,"1000_r0.058_0_geom_5.gin",5,60.0426,1504988425109968384
"GBRL",1000,6,"1000_r0.058_0_geom_5.gin",6,32.1713,1504988486925348864
"GBRL",1000,5,"1000_r0.058_0_geom_5.gin",7,14.3451,1504988520885211136
"GBRL",1000,4,"1000_r0.058_0_geom_5.gin",8,11.1564,1504988537097579520
"GBRL",1000,3,"1000_r0.058_0_geom_5.gin",9,9.0277,1504988550473358592
"GBRL",1000,2,"1000_r0.058_0_geom_5.gin",10,8.3438,1504988561594541824
"GBRL",1000,17,"1000_r0.058_0_geom_3.gin",1,72.2726,1504988571975085568
"GBRL",1000,3,"1000_r0.058_0_geom_3.gin",2,55.5432,1504988646056422144
"GBRL",1000,2,"1000_r0.058_0_geom_3.gin",3,27.1391,1504988703384187136
"GBRL",1000,1,"1000_r0.058_0_geom_3.gin",4,6.3849,1504988732563491328
"GBRL",1000,1,"1000_r0.058_0_geom_3.gin",5,7.289,1504988741066869504
"GBRL",1000,1,"1000_r0.058_0_geom_3.gin",6,5.723,1504988750518416384
"GBRL",1000,1,"1000_r0.058_0_geom_3.gin",7,6.6631,1504988758028825088
"GBRL",1000,1,"1000_r0.058_0_geom_3.gin",8,6.4987,1504988766925919744
"GBRL",1000,1,"1000_r0.058_0_geom_3.gin",9,6.3035,1504988775530019584
"GBRL",1000,1,"1000_r0.058_0_geom_3.gin",10,6.4569,1504988783872961536
"GBRL",1000,924,"1000_r0.05_0_geom_2.gin",1,359.6889,1504988792501164032
"GBRL",1000,30,"1000_r0.05_0_geom_2.gin",2,78.2477,1504989154023484672
"GBRL",1000,9,"1000_r0.05_0_geom_2.gin",3,68.2852,1504989234307394304
"GBRL",1000,5,"1000_r0.05_0_geom_2.gin",4,55.3058,1504989304465908480
"GBRL",1000,3,"1000_r0.05_0_geom_2.gin",5,20.5979,1504989361804417280
"GBRL",1000,2,"1000_r0.05_0_geom_2.gin",6,8.7339,1504989384439859712
