"set","n","result","instance","D","runtime","seed"
"GEN-ER",150,104,"150_ep0.1_degree_erdos_10.in",10,600.0758,1512108663041612544
"GEN-ER",150,147,"150_ep0.125_degree_erdos_6.in",1,5.1625,1512109263138903808
"GEN-ER",150,143,"150_ep0.125_degree_erdos_6.in",2,17.2318,1512109268331886336
"GEN-ER",150,139,"150_ep0.125_degree_erdos_6.in",3,59.4114,1512109285590712064
"GEN-ER",150,135,"150_ep0.125_degree_erdos_6.in",4,107.1921,1512109345025098752
"GEN-ER",150,131,"150_ep0.125_degree_erdos_6.in",5,333.7308,1512109452237835520
"GEN-ER",150,127,"150_ep0.125_degree_erdos_6.in",6,600.1004,1512109785984942080
"GEN-ER",150,123,"150_ep0.125_degree_erdos_6.in",7,600.1137,1512110386101815296
"GEN-ER",150,119,"150_ep0.125_degree_erdos_6.in",8,600.0905,1512110986233081088
"GEN-ER",150,115,"150_ep0.125_degree_erdos_6.in",9,600.0872,1512111586341181440
"GEN-ER",150,110,"150_ep0.125_degree_erdos_6.in",10,600.1215,1512112186445138688
"GEN-ER",150,147,"150_ep0.1_degree_erdos_8.in",1,4.2599,1512112786583771648
"GEN-ER",150,143,"150_ep0.1_degree_erdos_8.in",2,9.7565,1512112790862238720
"GEN-ER",150,139,"150_ep0.1_degree_erdos_8.in",3,49.9017,1512112800634395392
"GEN-ER",150,136,"150_ep0.1_degree_erdos_8.in",4,215.4366,1512112850557367808
"GEN-ER",150,132,"150_ep0.1_degree_erdos_8.in",5,412.9657,1512113066014433792
"GEN-ER",150,127,"150_ep0.1_degree_erdos_8.in",6,600.0941,1512113478999523584
"GEN-ER",150,122,"150_ep0.1_degree_erdos_8.in",7,600.0809,1512114079115622656
"GEN-ER",150,117,"150_ep0.1_degree_erdos_8.in",8,600.093,1512114679218278912
"GEN-ER",150,112,"150_ep0.1_degree_erdos_8.in",9,600.1637,1512115279327841792
"GEN-ER",150,106,"150_ep0.1_degree_erdos_8.in",10,600.0989,1512115879512545536
"GEN-ER",150,146,"150_ep0.1_degree_erdos_6.in",1,5.4729,1512116479628147200
"GEN-ER",150,141,"150_ep0.1_degree_erdos_6.in",2,13.2203,1512116485117428224
"GEN-ER",150,137,"150_ep0.1_degree_erdos_6.in",3,53.139,1512116498355775232
"GEN-ER",150,132,"150_ep0.1_degree_erdos_6.in",4,70.5438,1512116551514881536
"GEN-ER",150,127,"150_ep0.1_degree_erdos_6.in",5,97.5915,1512116622078432512
"GEN-ER",150,122,"150_ep0.1_degree_erdos_6.in",6,131.5039,1512116719690944256
"GEN-ER",150,117,"150_ep0.1_degree_erdos_6.in",7,394.104,1512116851217716736
"GEN-ER",150,112,"150_ep0.1_degree_erdos_6.in",8,600.0901,1512117245338285312
"GEN-ER",150,106,"150_ep0.1_degree_erdos_6.in",9,600.0887,1512117845448071424
"GEN-ER",150,101,"150_ep0.1_degree_erdos_6.in",10,600.1077,1512118445557038848
"GEN-ER",150,147,"150_ep0.125_degree_erdos_7.in",1,5.2352,1512119045682753792
"GEN-ER",150,143,"150_ep0.125_degree_erdos_7.in",2,10.4435,1512119050948272384
"GEN-ER",150,139,"150_ep0.125_degree_erdos_7.in",3,38.7625,1512119061408500992
"GEN-ER",150,135,"150_ep0.125_degree_erdos_7.in",4,131.8978,1512119100190658816
"GEN-ER",150,131,"150_ep0.125_degree_erdos_7.in",5,496.8106,1512119232110480384
"GEN-ER",150,127,"150_ep0.125_degree_erdos_7.in",6,399.352,1512119728937403136
"GEN-ER",150,123,"150_ep0.125_degree_erdos_7.in",7,600.0932,1512120128309444608
"GEN-ER",150,119,"150_ep0.125_degree_erdos_7.in",8,600.1241,1512120728419490560
"GEN-ER",150,115,"150_ep0.125_degree_erdos_7.in",9,600.1058,1512121328564553216
"GEN-ER",150,110,"150_ep0.125_degree_erdos_7.in",10,600.1102,1512121928695326464
"GEN-ER",150,146,"150_ep0.1_degree_erdos_4.in",1,4.4415,1512122528827742464
"GEN-ER",150,142,"150_ep0.1_degree_erdos_4.in",2,13.6735,1512122533285332224
"GEN-ER",150,137,"150_ep0.1_degree_erdos_4.in",3,38.6157,1512122546976042240
