"set","n","result","instance","D","runtime","seed"
"BBGRL",1000,959,"1000_ep0.0125_0_gilbert_1.in",8,167.3142,1503696818351802624
"BBGRL",1000,953,"1000_ep0.0125_0_gilbert_1.in",9,167.3311,1503696987591770112
"BBGRL",1000,947,"1000_ep0.0125_0_gilbert_1.in",10,167.2974,1503697156957852928
"BBGRL",1000,995,"1000_ep0.0125_0_gilbert_6.in",1,51.1554,1503697326066242816
"BBGRL",1000,990,"1000_ep0.0125_0_gilbert_6.in",2,167.2471,1503697379084531968
"BBGRL",1000,984,"1000_ep0.0125_0_gilbert_6.in",3,167.3746,1503697548374207488
"BBGRL",1000,980,"1000_ep0.0125_0_gilbert_6.in",4,167.2441,1503697717623463168
"BBGRL",1000,973,"1000_ep0.0125_0_gilbert_6.in",5,167.4958,1503697886965444352
"BBGRL",1000,967,"1000_ep0.0125_0_gilbert_6.in",6,167.2163,1503698056257975808
"BBGRL",1000,962,"1000_ep0.0125_0_gilbert_6.in",7,167.3428,1503698225484718080
"BBGRL",1000,956,"1000_ep0.0125_0_gilbert_6.in",8,167.4769,1503698394612092672
"BBGRL",1000,950,"1000_ep0.0125_0_gilbert_6.in",9,167.2959,1503698563874380032
"BBGRL",1000,3,"1000_ep0.0125_0_gilbert_6.in",10,143.3628,1503698732961939456
"BBGRL",1000,990,"1000_ep0.0075_0_gilbert_1.in",1,58.8599,1503698878427800576
"BBGRL",1000,980,"1000_ep0.0075_0_gilbert_1.in",2,167.1805,1503698939481341696
"BBGRL",1000,976,"1000_ep0.0075_0_gilbert_1.in",3,167.8906,1503699108493074944
"BBGRL",1000,2,"1000_ep0.0075_0_gilbert_1.in",4,45.3635,1503699278167671552
"BBGRL",1000,1,"1000_ep0.0075_0_gilbert_1.in",5,7.6196,1503699325333498368
"BBGRL",1000,1,"1000_ep0.0075_0_gilbert_1.in",6,7.7224,1503699335071095296
"BBGRL",1000,1,"1000_ep0.0075_0_gilbert_1.in",7,8.1352,1503699344844471040
